event_date,year,event,strike_by,target,state,region,district,location,latitude,longitude,source,notes,fatalities,civilian_casualties,
24-Jan-19,2019,Remote violence,AMISOM,Al Shabaab,South West,Bay,Buur Hakaba,Buur Xakaba,2.8049,44.0821,Local Source,24 January. AMISOM combat helicopters conducted an airstrike in Buurhakaba district targeting AS detention facility in the area. Casualties are unaccounted yet.,0,0,
24-Jan-19,2019,Remote violence,AMISOM,Al Shabaab,South West,Bay,Baydhaba,Baidoa,3.1172,43.6469,Morad News,"24 January. Ethiopian helicopters bomb AS controlled village near Baidoa town, Somalia.",0,0,
23-Jan-19,2019,Remote violence,Unknown,Al Shabaab,Jubaland,Middle Juba,Jilib,Jilib,0.4833,42.7666,Local Source,"23 January. Unknown warplane conducted an airstrike targeting AS vehicle in Jilib town. The vehicle was damaged, and the driver escaped.",0,0,
19-Jan-19,2019,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.483,42.767,AP,"19 January. The U.S. military said it had carried out an airstrike in Jilib, killing 52 al-Shabab militants",52,0,
16-Jan-19,2019,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Bu'aale,Buaale,1.245,42.573,Local Source,16 January. An airstrike targeted an AS location in Nasira village of Buale town. There were reports of injuries.,0,0,
27-Dec-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Miido,0.19,42.1,Local Source,"On 27 Dec, an unknown warplane conducted an airstrike against a civilian truck moving from Kismayo to Bu'ale at Miido village area (south east of Afmadow town). The truck was suspected to be owned by Al Shabaab. Casualties and damages were reported.",0,1,
24-Dec-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Bu'aale,Buaale,1.2448,42.5732,Local Source,24 December. An unknown warplane conducted an airstrike against suspected AS locations in Bu'ale town. Two (02) missiles were fired. Casualties unknown.,0,0,
21-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Beled Aamin,1.7272,44.622,Xinhua,21 December. The United States army said that it conducted two airstrikes killing 11 al-Shabab militants in the vicinity of Beled Amin.,11,0,
19-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Wanla Weyn,Beled Amin,2.5824,44.8055,VOA,"On 19 Dec, the U.S. military reported having killed 11 Al Shabaab militants during airstrikes carried out on that day in Beled Amin South area, 40km from Mogadishu.",11,0,
18-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Bossaso,11.2837,49.1806,Halbeeg,18 December. United States (US) military airstrikes have killed eight Al-Shabaab fighters in a joint operation with Puntland forces in north-eastern Somalia. Puntland officials who confirmed the attack said the local forces backed by U.S drones launched operations in the mountainous areas.,8,0,
16-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Gandarshe,1.8347,44.9665,Al Jazeera,16 December. US military said it has killed 28 militants in a fresh airstrike against Al Shabaab in six air raids in the vicinity of Gandarshe.,28,0,
15-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Gandarshe,1.8347,44.9665,AFRICOM,15 December. US military said it has killed 8 militants in a fresh airstrike against Al Shabaab in the vicinity of Gandarshe.,8,0,
11-Dec-18,2018,Remote violence,Ethiopian National Defence Forces,Al Shabaab,South West,Bakool,Rab Dhuure,Boodaan,4.209,43.2172,Local Source,11 December. ENDF helicopters conducted an airstrike targeting AS fighters planning to ambush an ENDF convoy near Boodaan village. Causality unknown.,0,0,
9-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Basra,2.2991,45.2636,Local Source,09 December: An airstrike by the US was conducted against AS militant stronghold base located in Basra village neighbourhood. Four militants killed.,4,0,
4-Dec-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Awdheegle,1.9833,44.8333,Xinhua,"04 December. The United States military confirmed that its special forces conducted an airstrike against al-Shabab militants in Awdhegle, killing four militants.",4,0,
3-Dec-18,2018,Remote violence,Unknown,Unidentified Group,Hirshabelle,Hiiraan,Bulo Burto,Maxaas,4.392,46.0884,Local Source,03 December. Unidentified military warplanes conducted an airstrike in Maxaas district. Initial information indicated that an artillery from the aircraft destroyed a wagon.,0,1,
1-Dec-18,2018,Remote violence,Unknown,Al Shabaab,South West,Bay,Baydhabo,Buulo Fulaay,2.1187,43.5202,Local Source,01 December. Unidentified warplanes conducted an airstrike targeting an AS base at Mareer-Roob (c. 15 km north west of Buulo Fulay village). The target was senior AS members and fighters who were reportedly at the base during the attack.,0,0,
27-Nov-18,2018,Remote violence,United States Forces,Al Shabaab,Galmudug,Mudug,Hobyo,Qaydaro,5.75,47.4833,VOA,"27 November. US strikes killed at least three AS fighters in Qay Adr, Mudug.",3,0,
20-Nov-18,2018,Remote violence,United States Forces,Al Shabaab,Galmudug,Mudug,Xarardheere,Xarardheere,4.6517,47.8584,Local Sources; AFRICOM,"20 November. The US conducted airstrike against AS base at Harardheere district in Mudug region. Several vehicles belonging to AS, en-route to their bases, were destroyed. AFRICOM said six were killed.",6,0,
19-Nov-18,2018,Remote violence,United States Forces,Al Shabaab,Galmudug,Mudug,Gaalkacyo,Debatscile,5.1667,48.1333,AFRICOM,"19 November. Two separate US airstrikes against al-Shabab militants near Debatscile village in central Somalia. The first killed 27 militants, the second killed 10. Coded as two separate events.",27,0,
