region,facility_name,facility_type,ownership,source,longitude,latitude
Awdal,Aasha Caddo Health Post,Health Post,MoHL,GPS,43.439201,11.1744
Awdal,Ali Xaydh Health Post,Health Post,MoHL,Other,43.252102,10.4488
Awdal,Ara-Weine Health Post,Health Post,MoHL,GPS,43.419399,10.2844
Awdal,Baki Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,Other,43.365312,10.009932
Awdal,Boon Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,Other,43.0841,10.18513
Awdal,Borama Central Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,Other,43.18392,9.93869
Awdal,Borama Regional Hospital,Regional Hospital,MoHL,GPS,43.689999,10.292
Awdal,Borama Save Our Souls (SOS) Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,Other,43.050941,10.29565
Awdal,Cabdil Qaaddir Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,GPS,42.8913,10.5118
Awdal,Cadaad Health Post,Health Post,MoHL,Other,43.266548,10.0777
Awdal,Cali-Haidh Health Post,Health Post,NA,GPS,45.39495,9.115507
Awdal,Central Borama Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,GPS,43.1833,9.92895
Awdal,Dila Maternal & Child Health Centre,Maternal & Child Health Centre,NA,GPS,43.349998,9.78
Awdal,Dilla Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,Other,43.3445,9.77942
Awdal,Fadhi-Xun Health Post,Health Post,MoHL,Other,43.294688,10.292461
Awdal,Farda-Lagu Xidh Health Post,Health Post,MoHL,GPS,43.449699,10.4092
Awdal,Fiqi Adan Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,Other,43.192224,10.369623
Awdal,Garbodadar Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,Other,43.626938,10.238379
Awdal,Gargaara Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,Other,43.805888,10.313044
Awdal,Gariso Maternal & Child Health Centre,Maternal & Child Health Centre,NGO,GPS,43.459999,10.62
Awdal,Goraya Cowl Health Post,Health Post,MoHL,Other,43.22686,9.86789
Awdal,Gorgab Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL/NGO,GPS,43.1833,9.92893
Awdal,Hariirad Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,Other,42.872635,10.378273
Awdal,Hego Health Post,Health Post,MoHL,Other,43.2679,10.07739
Awdal,Idhan Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,Other,43.30208,9.69256
Awdal,Jarahorato Health Post,Health Post,MoHL,Other,43.330226,9.843865
Awdal,Jidhi Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,GPS,43.048,10.5926
Awdal,Kalawle Health Post,Health Post,MoHL,GPS,43.852699,10.5515
Awdal,Karure Health Post,Health Post,MoHL,GPS,43.588799,10.7506
Awdal,Lowyo-Ado Maternal & Child Health Centre,Maternal & Child Health Centre,MoHL,GPS,43.472801,11.3546
