president,prime_minister,in_office,start_date,end_date,office_status,summary,links_news,duration
Mario di Stefano,Abdullahi Isse,Vote,29-Feb-56,1-Jul-60,Term Expired,,,52
Aden Abdullah Osman Daar,Muhammad Haji Ibrahim Egal,Appointed,1-Jul-60,12-Jul-60,Interim,"Served during transion to a unified Somalia, for a period of 5 days. The shortest stint ever as the PM of the republic of Somalia.",https://peoplepill.com/people/muhammad-haji-ibrahim-egal/,0
Aden Abdullah Osman Daar,Abdirashid Sharmarke,Appointed,12-Jul-60,14-Jun-64,Dismissed,,,47
Aden Abdullah Osman Daar,Abdirizak Haji Hussein,Vote,14-Jun-64,15-Jul-67,Term Expired,Failed in the presidential elections of 1967 which voted out President Adan Abdulle Osman.,,37
Abdirashid Sharmarke,Muhammad Haji Ibrahim Egal,Vote,15-Jul-67,21-Oct-69,Overthrown,,,27
Mohamed Siad Barre,Mohammad Ali Samatar,Appointed,1-Feb-87,3-Sep-90,Dismissed,,,43
Mohamed Siad Barre,Hawadle Madar,Appointed,3-Sep-90,20-Jan-91,Resigned,,,4
Ali Mahdi Muhammad,Umar Arteh Ghalib,Appointed,24-Jan-91,4-May-93,Resigned,"Until his participation in Somaliland elections (5th May 1993), when he challenged Mohamed Haji Egal for the presidency, Arte was the defacto PM, even though some reports indicate he resigned in August 1991. ",,27
Abdiqasim Salad Hassan,Ali Khalif Galaydh,Vote,8-Oct-00,28-Oct-01,Voted Out,Forced or Voted Out,http://www.somalitalk.com/2001/oct/28oc01.html,12
Abdiqasim Salad Hassan,Osman Jama Ali,Interim,28-Oct-01,11-Nov-01,Interim,Interim,,0
Abdiqasim Salad Hassan,Hassan Abshir Farah,Vote,11-Nov-01,8-Dec-03,Voted Out,Forced or Voted Out,http://www.irinnews.org/report/47593/somalia-tng-faction-rejects-new-appointments,24
Abdiqasim Salad Hassan,Mohamed Abdi Yussuf,Vote,9-Dec-03,3-Nov-04,Term Expired,Term Expired,http://www.somalitalk.com/2006/may/19may016.html,10
Abdullahi Yusuf Ahmed,Ali Mohammed Ghedi,Vote,23-Dec-04,29-Oct-07,Resigned,Forced or Voted Out,http://www.somalitalk.com/2007/oct/30oct107.html,34
Abdullahi Yusuf Ahmed,Salim Aliyow Ibrow,Interim,30-Oct-07,24-Nov-07,Interim,Interim,,0
Abdullahi Yusuf Ahmed,Nur Hassan Hussein,Vote,24-Nov-07,14-Dec-08,Government Collapsed,Forced or Voted Out,,12
Sharif Sheikh Ahmed,Omar Abdirashid Ali Sharmarke,Vote,14-Feb-09,21-Sep-10,Resigned,Forced or Voted Out,31 January 2009 – 20 August 2012,19
Sharif Sheikh Ahmed,Abdiwahid Elmi Gonjeh,Interim,24-Sep-10,1-Nov-10,Interim,Interim,,1
Sharif Sheikh Ahmed,Mohamed Abdullahi Farmajo,Vote,1-Nov-10,19-Jun-11,Resigned,Forced or Voted Out,https://www.voasomali.com/a/1252615.html,7
Sharif Sheikh Ahmed,Abdiweli Mohamed Ali Gaas,Vote,28-Jun-11,17-Oct-12,Term Expired,Term Expired,,15
Hassan Sheikh Mohamud,Abdi Farah Shirdon,Vote,13-Nov-12,21-Nov-13,Voted Out,Forced or Voted Out,10 September 2012 – 16 February 2017,12
Hassan Sheikh Mohamud,Abdiweli Sheikh Ahmed,Vote,21-Dec-13,6-Dec-14,Voted Out,Forced or Voted Out,https://hiiraan.com/news/2013/dec/wararka_maanta21-44593.htm,11
Hassan Sheikh Mohamud,Omar Abdirashid Ali Sharmarke,Vote,24-Dec-14,1-Mar-17,Term Expired,Term Expired,,26
Mohamed Abdullahi Farmajo,Hassan Ali Khayre,Vote,1-Mar-17,1-Mar-20,Serving,Serving,https://www.bbc.com/somali/war-39125689,36
