project_title,project_objectives,start_date,end_date,ndp_pillar,primary_sector,reporting_agency,funders,implementers,implementer_category,mtdf,project_value,project_url,year,amount_disbursed,recipient
PRRO200844-Humanitarian Assistance,Famine prevention/drought response 2017,1/3/17,12/19/17,Pillar 8: Resilience,Food Security,WFP,Pot,"INGOs, NGOs partners, MoH",Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,226869189,Unattributed
PRRO200844-Humanitarian Assistance,Famine prevention/drought response 2017,1/3/17,12/19/17,Pillar 8: Resilience,Food Security,WFP,Pot,"INGOs, NGOs partners, MoH",Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,97846105,Unattributed
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,1436645,FGS
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,1723974,Benadir
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,2729625,Galmudug
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,3591612,Puntland
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,2011303,South West
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,2873290,Somaliland
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,10445523,FGS
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,12534627,Benadir
