"sector_code","sector","mda_code","mda","sub_code","sub_mda","category_code","category","item_code","item","budget_type","amount","year"
100,"Administration",105,"Ministry of Finance",10503,"Other Activities of the State",26,"Grants",1101,"Somaliland","Supplemental",2e+05,2019
100,"Administration",105,"Ministry of Finance",10503,"Other Activities of the State",26,"Grants",1101,"Somaliland","Adopted",4e+05,2020
100,"Administration",105,"Ministry of Finance",10503,"Other Activities of the State",26,"Grants",2101,"Puntland State","Actuals",4674129,2018
100,"Administration",105,"Ministry of Finance",10503,"Other Activities of the State",26,"Grants",2101,"Puntland State","Supplemental",6426275,2019
100,"Administration",105,"Ministry of Finance",10503,"Other Activities of the State",26,"Grants",2101,"Puntland State","Adopted",5711022,2020
100,"Administration",101,"Office of the Presidency",10101,"Office of the Presidency",21,"Compensation of employees",2111,"Wages and salaries in cash","Actuals",1335562,2018
100,"Administration",101,"Office of the Presidency",10101,"Office of the Presidency",21,"Compensation of employees",2111,"Wages and salaries in cash","Supplemental",1375464,2019
100,"Administration",101,"Office of the Presidency",10101,"Office of the Presidency",21,"Compensation of employees",2111,"Wages and salaries in cash","Adopted",1273704,2020
100,"Administration",102,"Parliament",10201,"Office of Speaker (People's House)",21,"Compensation of employees",2111,"Wages and salaries in cash","Actuals",1888742,2018
100,"Administration",102,"Parliament",10201,"Office of Speaker (People's House)",21,"Compensation of employees",2111,"Wages and salaries in cash","Supplemental",1940904,2019
100,"Administration",102,"Parliament",10201,"Office of Speaker (People's House)",21,"Compensation of employees",2111,"Wages and salaries in cash","Adopted",1972344,2020
100,"Administration",102,"Parliament",10203,"Upper House (Senate)",21,"Compensation of employees",2111,"Wages and salaries in cash","Supplemental",164676,2019
100,"Administration",102,"Parliament",10203,"Upper House (Senate)",21,"Compensation of employees",2111,"Wages and salaries in cash","Adopted",162648,2020
100,"Administration",103,"Office of the Prime Minister",10301,"Office of the Prime Minister",21,"Compensation of employees",2111,"Wages and salaries in cash","Actuals",1624886,2018
