date,year,target,fatalities,count,injuries,district,location,latitude,longitude,notes
2/27/19,2019,Civilians,25,2,131,Waaberi,Maka Al Mukarama,2.0469343,45.3181623,Al Shabaab attacks a busy restaurant center in Mogadishu
2/4/19,2019,Civilians,10,1,10,Xamar Weyne,Mogadishu Mall,2.0414,45.3337,"04 February. A car bomb explosion at a restaurant adjacent to Mogadishu Mall killed at least 10 people, injured several. Al-Shabab claimed responsibility."
1/29/19,2019,Civilians,2,1,5,Bondhere,Daljirka Daahsoon,2.041,45.334,"29 January. At least 2 people dead, 5 wounded, several vehicles destroyed when a car bomb exploded in Mogadishu. Al Shabaab claimed responsibility."
12/22/18,2018,Civilians,20,2,40,Wardhigley,Tiyatarka Qaranka,2.0414,45.3337,22 December. Mogadishu twin blasts claimed by AS killed at least 20 people and wounded another 40
11/9/18,2018,Civilians,50,3,10,Hodan,Hotel Sahafi,2.0333,45.35,"09 November. Three Vehicle Bourne Improvised Explosive Devices (VBIED) explosions occurred outside three main buildings - Hotel Hayaat, Sahafi Hotel and the CID HQs - at KM4 in Hodan district. Armed clashes followed between Al Shabab fighters and NISA. The event claimed the lives of at least 50 people."
10/1/18,2018,Military Forces of Italy,3,1,1,Daynile,Daynile,2.0581,45.3003,1 October 2018: A suicide bomber rammed an explosive-laden car against an Italian anti-Al-Shabaab military convoy near the Ministry of Defence in Deynile district.Two civilian bystanders were killed while five others university students were injured. Fatalities coded as 3 include the bomber.
9/10/18,2018,Civilians,7,1,16,Hodan,Hodan,2.0333,45.35,"10 September 2018: An explosive-laden vehicle driven by an Al-Shabaab militant reportedly rammed into the Hodan district headquarters, killing 6 civilians and injuring 16 others."
9/2/18,2018,Civilians,6,1,10,Howl Wadaag,Hawl Wadaag,2.048,45.32,"2 September 2018: At least three Somali soldiers and two children were killed and over ten others were injured after a car bomb exploded near a Quranic school in Hawlwadag district, Mogadishu. According to witnesses, a suicide bomber drove an explosive laden car into the district headquarters. Al-Shabaab has claimed responsibility for the attack. The fatality count includes the suicide bomber."
8/5/18,2018,Civilians,5,1,7,Howl Wadaag,Hawl Wadaag,2.048,45.32,"On August 5th, 2018, at least 4 people were killed and 7 others injured in a suicide car-bomb explosion during a traffic jam on Mogadishu's Makkah Al Mukaramah Road. According to the source, those killed were in cars and sitting in the Bar Italia (Hawl-Wadag district). *fatality count includes the suicide bomber. Al-Shabaab claimed responsibility for the attack, claiming to have targeted Somali SNAF/NISA soldiers."
7/14/18,2018,Government,6,1,1,Wardhigley,Villa Somalia,2.0411,45.3368,"14 July. Between 2-3 al Shabaab fighters, driving cars laden with explosives, attempt to gain entry to the Presidential palace. The two automobiles detonated, along with an exchange of gunfire. Security forces shot dead the two perpetrators; a majority of sources claim 3 al Shabaab dead, six dead total."
7/14/18,2018,Government,12,1,1,Wardhigley,Villa Somalia,2.0411,45.3368,"14 July. Al Shabaab elements launch a complex attack against Villa Somalia. The attack began with a pair of car bombs, followed by a general attack on the entrance of the building. Al Shabaab claims 12 troops dead; military forces claim 10. The two attackers were suicide bombers."
7/7/18,2018,Government,15,2,12,Bondhere,Bondhere,2.0456,45.34,"07 July. Suspected al Shabaab attacked interior and security ministries (near Villa Somalia) with two large vehicle borne suicide explosions. Following the initial attack, several fighters attempted to enter the buildings, but were repelled by security forces stationed at the entrances. The ensuing gun battle lasted two hours. 15 dead (at least 5 fatalities were al Shabaab), dozens injured."
4/6/18,2018,Government,4,2,1,Hodan,Hodan,2.0333,45.35,"06 April. Two al Shabaab suicide VBIEDs detonate along airport road. Three al Shabaab dead, one soldier. The Somali Memo, al Shabaab's propaganda arm, claimed 18 soldiers dead."
4/6/18,2018,Government,1,1,3,Waaberi,Waaberi,2.0195,45.31,"06 April. SVBIED stopped at checkpoint detonates. One NISA killed, three bystanders injured."
3/28/18,2018,Civilians,1,1,3,Hodan,Hodan,2.0333,45.35,28 March. Three are injured and one dead after a car bomb explodes near International Committee of the Red Cross in Mogadishu. Al Shabaab claimed responsibility.
3/25/18,2018,Government,6,1,1,Waaberi,Waaberi,2.0195,45.31,"25 March. A VBIED suicide bomber detonates near a security checkpoint that sits at the entrance of Parliament building. The car had been stopped prior to its detonation. VOA report 6 dead, including three civilians."
2/23/18,2018,Government,30,2,10,Wardhigley,Villa Somalia,2.0411,45.3368,"Two blasts occur in Mogadishu on the evening of 23/02. The first blast, apparently caused by a suicide car bomber, occurred near Somalia's intelligence headquarters. The second blast occurred near parliament's headquarters, where security forces were engaged with gunmen thought to be trying to attack the presidential palace. A gunfight with security forces followed. 25 dead in the second blast, plus 5 al Shabaab attackers."
12/14/17,2017,Government,18,1,25,Waaberi,Waaberi,2.0195,45.31,"An al Shabaab suicide bomber struck a group of police officers rehearsing for a parade in the police academy. 18 dead, 25 injured."
11/14/17,2017,AMISOM,1,1,2,Daynile,Daynile,2.0581,45.3003,"A Vehicle Borne Improvised Explosive Device (VBIED) has hit an AMISOM convoy on the Afgooye road north of Afgooye ex control. The vehicle's operator crashed into the convoy. Apart from the driver, the number of causalities are not known."
10/28/17,2017,Civilians,27,1,30,Xamar Weyne,Xamar Weyne,2.0337,45.34,"Between two or three al Shabaab car bombers attackers target the Nasa-Hablod hotel, which is frequented by politicians and other members of Mogadishu's elite. 20 dead, 30 wounded. Later reports count 27 dead. Al-Furqaan report 50 dead. Al Shabaab claims 70 dead. The first VBIED detonated at approximately 17:00EAT. The secondary VBIED was remotely detonated at approximately 17:40EAT. Following the blasts five gunmen stormed the hotel where they were they stayed until they were dislodged by SNG forces. Two dead, three captured. Al Shabaab's statement claiming responsibility was released at approximately 17:55EAT. Among the dead were nine Danab (Somali Special Forces)."
10/14/17,2017,Civilians,587,2,430,Hodan,Hodan,2.0333,45.35,"14 October. Two car bombs exploded outside a hotel at a busy junction in Somalia's capital Mogadishu on Saturday, with officials and witnesses fearing many casualties. Initial reports stated at least 20 dead, though that figure was raised to 300+ in the following days, plus 429 wounded. Following a investigation the death toll was revised higher to 512. On 5 March 2018 a Somali committee investigating the toll of the truck bombing in Mogadishu on 14 October has released new figures, which reveal that 587 people were killed in the bombing."
10/14/17,2017,Government,4,1,1,Wadajir,Medina,2.0205,45.2897,"An al Shabaab VBIED was stopped at a security checkpoint and the driver was arrested, it has yet to be ascertained why the VBIED detonated following the arrest. Four SNAF killed."
9/28/17,2017,Civilians,7,1,10,Xamar Weyne,Xamar Weyne,2.0337,45.34,At least seven people were killed and several others wounded after a car bomb exploded in Xamae Weyne near the London Gate restaurant. Seven or eight dead. The car was moving at the time of explosion. It is not known if the perpetrators were in the car or if the bomb was remotely detonated. Al Shabaab suspected.
8/11/17,2017,Government,4,1,10,Xamar Jaabjab,Xamar Jaabjab,2.0276,45.33,An al Shabaab suicide bomber and a guard at Mogadishu's central prison have been killed in an attack targeting the commander of Somalia's custodial corps. Others reports claim four dead.
8/11/17,2017,Civilians,2,1,10,Xamar Jaabjab,Xabsiga Dhexe,2.0414,45.3337,At least two people were killed and several others injured on 11/08 in a suicide bomb attack at a mosque in Somali capital Mogadishu. Perpetrators not identified by source.
8/4/17,2017,Civilians,2,1,10,Hodan,Daarul Shifa Hotel Ambassador,2.0414,45.3337,"At least two people were killed in an apparent car bomb blast on a major street in Mogadishu on the evening of 04/08. Al Shabaab are the suspected perpetrators. It is not known if the protractors were present at the time of attack, or had simply wired the bomb to a timer."
8/4/17,2017,Civilians,2,1,8,Hodan,Hodan,2.0333,45.35,"04th August, 18:45EAT, IVO Ambassador Hotel, Mogadishu: a vehicle-borne improvised explosive device (VBIED) detonated, killing two and injuring eight. Al Shabaab suspected."
7/30/17,2017,Civilians,15,1,15,Howl Wadaag,Hawl Wadaag,2.048,45.32,"11:05EAT, Makka al Mukarama road, Mogadishu: a vehicle-borne improvised explosive device (VBIED) detonated between Makka al Mukarama Hotel and the Wabeeri Police Station after being chased by security forces. Fifteen killed, plus injuries. Al Shabaab are suspected as perpetrators."
6/22/17,2017,Government,9,1,19,Waaberi,Waaberi,2.0195,45.31,"14:45EAT, Wabeeri, Mogadishu: a suicide bomber rammed a vehicle-borne improvised explosive device (VBIED) against the Wabeeri district police station. Seven people, including a Jubaland minister were killed in the explosion. The station itself also experienced heavy damage."
