,tweet_date,tweet_year,tweet_month,tweet_day,tweet_hour,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_lang
0,2017-11-21 22:25:00+03:00,2017,11,21,22,"Madaxweynaha ayaa shacabka deegaannada Somaliland, xisbiyada, hay’adaha amniga iyo madaxda tartantayba ku ammaanay… https://t.co/707H6f0I0y",,,Twitter for iPhone,,TRUE,FALSE,98,375,,0,https://t.co/707H6f0I0y,1,,0,,so
1,2017-11-21 22:24:00+03:00,2017,11,21,22,Madaxweynaha Jamhuuriyada Federaalka Soomaaliya Mudane Maxamed Cabdullahi Farmaajo ayaa u hambalyeeyey Madaxweynaha… https://t.co/foxQY11MeC,,,Twitter for iPhone,,TRUE,FALSE,102,254,,0,https://t.co/foxQY11MeC,1,,0,,so
2,2017-11-21 10:52:00+03:00,2017,11,21,10,UAE &amp; Somalia are historic allies with  enduring modern partnership. Our two sides agreed to strengthen bilateral t… https://t.co/QErPTWuIwg,,,Twitter for iPhone,,TRUE,FALSE,64,266,,0,https://t.co/QErPTWuIwg,1,,0,,en
3,2017-11-19 18:34:00+03:00,2017,11,19,18,President Farmajo arrives in Abu Dhabi for a two day visit. Talks would mainly be on bilateral and trade cooperatio… https://t.co/cc7lX4t4JE,,,Twitter for iPhone,,TRUE,FALSE,123,522,,0,https://t.co/cc7lX4t4JE,1,,0,,en
4,2017-11-10 19:21:00+03:00,2017,11,10,19,Madaxweynaha Jamhuuriyadda ayaa ka qeybgalaya Furitaanka Ololaha Nabadgalyada Degmooyinka Gobolka Banaadir.… https://t.co/46wBpWqOZn,,,Twitter for iPhone,,TRUE,FALSE,96,508,,0,https://t.co/46wBpWqOZn,1,,0,,so
5,2017-11-07 13:20:00+03:00,2017,11,7,13,Madaxweynaha JFS ayaa ku sugan Xarunta Wasaaradda Gaashaandhigga isaga oo warbixin ka dhageysanaya Saraakiisha Ciid… https://t.co/bRN1uTTs5I,,,Twitter for iPhone,,TRUE,FALSE,95,545,,0,https://t.co/bRN1uTTs5I,1,,0,,so
6,2017-11-05 15:22:00+03:00,2017,11,5,15,"DF iyo DG oo heshiis ka gaaray arrimaha Amniga, Siyaasadda, Federaaleynta, Doorashada 2020, Dib-u-eegista Dastuurka… https://t.co/8d2xAicbHR",,,Twitter Web Client,,TRUE,FALSE,116,606,,0,https://t.co/8d2xAicbHR,1,,0,,so
7,2017-11-04 18:37:00+03:00,2017,11,4,18,"DFS, Safiirrada wadamada ay ciidamada ka joogaan dalka iyo Taliska AMISOM oo ka wada hadlay qorshaha abaabulka daga… https://t.co/yx9lqlwn7E",,,Twitter for iPhone,,TRUE,FALSE,47,248,,0,https://t.co/yx9lqlwn7E,1,,0,,so
8,2017-11-02 20:24:00+03:00,2017,11,2,20,"President Farmaajo chaired the National Security Council. Issues on security, Nat’l Defense Plan and rebuilding the… https://t.co/vhgInFmynd",,,Twitter for iPhone,,TRUE,FALSE,123,433,,0,https://t.co/vhgInFmynd,1,,0,,en
9,2017-11-02 20:04:00+03:00,2017,11,2,20,Madaxweynaha ayaa guddoomiyay Shirka Golaha Amniga Qaranka. Qorshaha Difaaca Qaranka &amp; dagaalka ka dhanka ah Shabaa… https://t.co/4xPqPvzdiY,,,Twitter for iPhone,,TRUE,FALSE,36,250,,0,https://t.co/4xPqPvzdiY,1,,0,,so
10,2017-10-31 13:17:00+03:00,2017,10,31,13,H.E @M_Farmaajo “Congratulations Excellency @UKenyatta. I know you are willing to maintain the friendship and coop between our 2 countries.”,,,Twitter for iPhone,,TRUE,FALSE,98,364,,0,,0,"M_Farmaajo, UKenyatta",2,,en
11,2017-10-29 17:12:00+03:00,2017,10,29,17,"Shirka maanta furmay ayaa lagu gorfeynayaa arrimaha siyaasadda dalka, wadashaqeynta DF iyo DG iyo dagaalka ka dhank… https://t.co/VVqhj2m7Gb",,,Twitter for iPhone,,TRUE,FALSE,49,297,,0,https://t.co/VVqhj2m7Gb,1,,0,,so
12,2017-10-29 17:10:00+03:00,2017,10,29,17,Madaxweyne Farmaajo oo maanta furay shirka wadatashiga amniga qaran. https://t.co/x8NgafAzLL,,,Twitter for iPhone,,TRUE,FALSE,23,69,,0,,0,,0,photo,so
13,2017-10-29 16:02:00+03:00,2017,10,29,16,"Pres @M_Farmaajo “On your most auspicious occasion of the #Republic day, we wish you prosperity, more progress nd bliss” @RT_Erdogan #Turkey",,,Twitter for iPhone,,TRUE,FALSE,70,285,"Republic, Turkey",2,,0,"M_Farmaajo, RT_Erdogan",2,,en
14,2017-10-26 03:53:00+03:00,2017,10,26,3,"Alle ha u naxariisto Janaraal Maxamed Abshir Muuse. Waxa uu ahaa shakhsi karti, dhawrsanaan, daacadnimo iyo dal jacayl ku sifoobay.",,,Twitter Web Client,,TRUE,FALSE,74,487,,0,,0,,0,,so
15,2017-10-23 19:46:00+03:00,2017,10,23,19,Madaxweynaha JFS iyo RW Itoobiya oo ka wada hadlay dabargoynta argagixisada Al Shabaab iyo guud ahaan xasilloonida… https://t.co/2FQpvaEayv,,,Twitter Web Client,,TRUE,FALSE,59,259,,0,https://t.co/2FQpvaEayv,1,,0,,so
16,2017-10-22 16:29:00+03:00,2017,10,22,16,"Madaxweyne Farmaajo ayaa goor dhaw gaaray Uganda, waxa uuna wada hadallo la yeelan doona dhigiisa dalkaas… https://t.co/GhgVfPA7db",,,Twitter for iPhone,,TRUE,FALSE,63,270,,0,https://t.co/GhgVfPA7db,1,,0,,so
17,2017-10-20 22:46:00+03:00,2017,10,20,22,Madaxweynuhu waxa uu jeedin doonaa khudbad ujeedadeedu tahay sidii shacabka iyo dowladda ay ugu midoobi lahaayeen la dagaallanka Al Shabaab.,,,Twitter for iPhone,,TRUE,FALSE,64,340,,0,,0,,0,,so
18,2017-10-20 22:45:00+03:00,2017,10,20,22,"Keddib qaraxii 14ka Oktoobar oo aan ku weynay dad qiimo badan, waa inaan u jeesannaa dhabbaha midnimada iyo wadajirka.",,,Twitter for iPhone,,TRUE,FALSE,132,608,,0,,0,,0,,so
19,2017-10-16 19:08:00+03:00,2017,10,16,19,"Madaxtooyadu waxay dhambaallo tacsi ka heshay Madaxweynaha Turkiya, Boqorka iyo Dhaxal Sugaha Sucuudiga iyo Amiirka Qadar. @MofaSomalia",,,Twitter for iPhone,,TRUE,FALSE,64,216,,0,,0,MofaSomalia,1,,so
20,2017-10-16 19:03:00+03:00,2017,10,16,19,"Madaxdii lasoo hadlay Madaxweynaha JFS waxaa kamid ah Madaxweynaha Jamhuriyadda Jabuuti, Madaxweynaha Uganda &amp; Boqo… https://t.co/GeV6L7KBgu",,,Twitter for iPhone,,TRUE,FALSE,44,146,,0,https://t.co/GeV6L7KBgu,1,,0,,so
21,2017-10-16 18:58:00+03:00,2017,10,16,18,Qaar kamid ah madaxda caalamka ayaa dhambaallo tacsi usoo diray Dowladda iyo shacabka Soomaaliyeed. https://t.co/jC1bYexbjv,,,Twitter for iPhone,,TRUE,FALSE,23,129,,0,,0,,0,photo,so
22,2017-10-15 10:20:00+03:00,2017,10,15,10,"""Waxaan farayaa cid waliba oo leh aqoon caafimaad in ay gaarto goobaha caafimaadka si ay kaalmo ugu fidiso muwaandi… https://t.co/DGVel8EM6O",,,Twitter for iPhone,,TRUE,FALSE,262,593,,0,https://t.co/DGVel8EM6O,1,,0,,so
23,2017-10-15 01:44:00+03:00,2017,10,14,1,"""I call on our citizens to come out, extend help, donate blood and comfort the bereaved. Let's get through this tog… https://t.co/90a9kh4o5c",,,Twitter for iPhone,,TRUE,FALSE,202,325,,0,https://t.co/90a9kh4o5c,1,,0,,en
24,2017-10-15 01:40:00+03:00,2017,10,14,1,"""We will observe 3 days of mourning for innocent victims, flags will be flown at half-mast. Time to unite &amp; pray together. Terror won't win""",,,Twitter for iPhone,,TRUE,FALSE,520,798,,0,,0,,0,,en
25,2017-10-15 01:30:00+03:00,2017,10,14,1,"Pres Farmajo ""Today's horrific attack proves our enemy would stop nothing to cause our people pain and suffering. L… https://t.co/Iq5YaouX0G",,,Twitter for iPhone,,TRUE,FALSE,158,255,,0,https://t.co/Iq5YaouX0G,1,,0,,en
26,2017-10-15 01:21:00+03:00,2017,10,14,1,"Madaxweynaha ayaa ugu baaqay shacabka Soomaaliyeed in ay u gurmadaan dadka dhaawacyada qaba, isaga oo ku booriyay in cadowga loo midoobo.",,,Twitter for iPhone,,TRUE,FALSE,57,196,,0,,0,,0,,so
27,2017-10-15 01:10:00+03:00,2017,10,14,1,"Madaxweyne Farmaajo ayaa ku dhawaaqay 3 maalmood oo baroordiiq qaran ah, waxaana hoos loo dhigay calanka Jamhuuriya… https://t.co/6LYZghLUTR",,,Twitter for iPhone,,TRUE,FALSE,125,256,,0,https://t.co/6LYZghLUTR,1,,0,,so
28,2017-10-11 22:10:00+03:00,2017,10,11,22,"President @M_Farmaajo calls for unity to achieve the hope of peace and progress for our people. 

#NabadIyoNolol https://t.co/wC7EsrjCD5",,,Twitter for iPhone,,TRUE,FALSE,85,236,NabadIyoNolol,1,,0,M_Farmaajo,1,photo,en
29,2017-10-11 19:34:00+03:00,2017,10,11,19,Madaxweyne Farmaajo oo ku baaqay midnimo iyo wadashaqeyn si looga mira dhaliyo himilooyinka shacabka Soomaaliyeed.… https://t.co/NgNH2wTqz7,,,Twitter for iPhone,,TRUE,FALSE,84,291,,0,https://t.co/NgNH2wTqz7,1,,0,,so
30,2017-10-09 19:11:00+03:00,2017,10,9,19,We wish #Uganda a happy Independence Day! Uganda has been a close friend and a reliable ally for many years. We value our partnership. #UG55,,,Twitter for iPhone,,TRUE,FALSE,41,229,"Uganda, UG55",2,,0,,0,,en
31,2017-10-07 14:45:00+03:00,2017,10,7,14,Madaxweyne Farmaajo ayaa dalka dib ugu soo laabtay keddib booqasho labo cisho qaadatay oo uu ku joogay dalka aan wa… https://t.co/MwJy20bpjv,,,Twitter for iPhone,,TRUE,FALSE,65,345,,0,https://t.co/MwJy20bpjv,1,,0,,so
32,2017-10-04 23:16:00+03:00,2017,10,4,23,Booqashada Madaxweynaha Jamhuuriyadda ee Suudaan waa mid lagu sii adkeynayo xiriirka qotoda dheer ee labada dal.… https://t.co/pm5wH4aoq8,,,Twitter for iPhone,,TRUE,FALSE,81,306,,0,https://t.co/pm5wH4aoq8,1,,0,,so
33,2017-10-04 23:11:00+03:00,2017,10,4,23,Madaxweyne Farmaajo oo booqasho rasmi ah ay uga bilaabatay Suudaan ayaa la kulmay dhiggiisa Mudane Cumar Xasan Al B… https://t.co/9iiGXWBG3O,,,Twitter for iPhone,,TRUE,FALSE,55,232,,0,https://t.co/9iiGXWBG3O,1,,0,,so
34,2017-10-04 15:03:00+03:00,2017,10,4,15,President @M_Farmaajo begins two day state visit to #Sudan. Will have talks with president Albashir on bilateral an… https://t.co/rTIKy2LZeR,,,Twitter for iPhone,,TRUE,FALSE,68,363,Sudan,1,https://t.co/rTIKy2LZeR,1,M_Farmaajo,1,,en
35,2017-10-03 17:54:00+03:00,2017,10,3,17,Madaxweyne Farmaajo oo waraaqaha aqoonsiga ka guddoomay safiirrada cusub ee Sweden iyo Austria ee Soomaaliya.… https://t.co/vnzZYxIZWF,,,Twitter for iPhone,,TRUE,FALSE,68,289,,0,https://t.co/vnzZYxIZWF,1,,0,,so
36,2017-10-02 15:34:00+03:00,2017,10,2,15,"Pres @M_Farmaajo signed the telecom bill. A law that leads to the creation of a telecom authority, safeguard both c… https://t.co/33HSkYNc9l",,,Twitter for iPhone,,TRUE,FALSE,84,267,,0,https://t.co/33HSkYNc9l,1,M_Farmaajo,1,,en
37,2017-10-02 15:09:00+03:00,2017,10,2,15,Madaxweyne Farmaajo ayaa maanta saxiixay xeerka Isgaarsiinta Qaranka oo geeddi-socodkiisa uu soo bilowday sanadkii… https://t.co/oYipRZTWbb,,,Twitter for iPhone,,TRUE,FALSE,46,211,,0,https://t.co/oYipRZTWbb,1,,0,,so
38,2017-09-28 09:21:00+03:00,2017,9,28,9,"H.E @M_Farmaajo concludes two day visit to the #KSA. Discussed economic coop, investment, joint efforts in combatin… https://t.co/hKgnNNoL47",,,Twitter for iPhone,,TRUE,FALSE,69,263,KSA,1,https://t.co/hKgnNNoL47,1,M_Farmaajo,1,,en
39,2017-09-27 15:53:00+03:00,2017,9,27,15,President @M_Farmaajo held talks with @KingSalman on strengthening bilateral ties between two brotherly countries.… https://t.co/JZlYJcsAuz,,,Twitter for iPhone,,TRUE,FALSE,75,228,,0,https://t.co/JZlYJcsAuz,1,"M_Farmaajo, KingSalman",2,,en
40,2017-09-26 20:23:00+03:00,2017,9,26,20,Madaxweynaha Jamhuuriyadda ayaa soo gaaray Jeddah halkaas oo uu kulamo kula yeelan doono boqorka iyo dhaxal sugaha… https://t.co/T8Am78fZpX,,,Twitter for iPhone,,TRUE,FALSE,51,258,,0,https://t.co/T8Am78fZpX,1,,0,,so
41,2017-09-16 17:38:00+03:00,2017,9,16,17,"2000 new books, 850 book title and 4900 people. Young authors, young artists, young musicians. #somalia rising… https://t.co/pLAuVSVfZg",,,Twitter for iPhone,,TRUE,FALSE,277,725,somalia,1,https://t.co/pLAuVSVfZg,1,,0,,en
42,2017-09-13 14:47:00+03:00,2017,9,13,14,"Abshir Jama, a teenage boy from #Burtinle is a very talented artist. He showcased his works at the #MogBookFair. Ve… https://t.co/Xtpv7VZooc",,,Twitter for iPhone,,TRUE,FALSE,169,594,"Burtinle, MogBookFair",2,https://t.co/Xtpv7VZooc,1,,0,,en
43,2017-09-13 14:17:00+03:00,2017,9,13,14,"Najah Aden Farah explains her book, Rajadii Ummadda. Brilliant young lady. Very proud of her. #NabadIyoNolol… https://t.co/0JjvjMyQ9P",,,Twitter for iPhone,,TRUE,FALSE,209,758,NabadIyoNolol,1,https://t.co/0JjvjMyQ9P,1,,0,,en
44,2017-09-01 16:31:00+03:00,2017,9,1,16,"Our soldiers &amp; security personnel protect us everyday. We must remember, celebrate &amp; honour their commitment &amp; sacr… https://t.co/QZeETumcci",,,Twitter for iPhone,,TRUE,FALSE,120,623,,0,https://t.co/QZeETumcci,1,,0,,en
45,2017-09-01 16:28:00+03:00,2017,9,1,16,"On this wonderfully joyous day I wish all a fantastic day of celebrations. We are grateful to Allah SWT, the Almigh… https://t.co/EuUtHpD26x",,,Twitter for iPhone,,TRUE,FALSE,65,324,,0,https://t.co/EuUtHpD26x,1,,0,,en
46,2017-08-22 20:31:00+03:00,2017,8,22,20,"Booqashada Madaxweynaha ee Masar waxay xoojineysaa iskaashiga 2da dal ee dhinacyada waxbarashada, ganacsiga, beerah… https://t.co/yzrgZ8djow",,,Twitter for Android,,TRUE,FALSE,57,520,,0,https://t.co/yzrgZ8djow,1,,0,,so
47,2017-08-22 20:19:00+03:00,2017,8,22,20,Madaxweyne Farmaajo ayaa galabta dalka dib ugu soo laabtay keddib booqasho rasmi ah oo uu ku joogay dalka Masar.… https://t.co/RRVssm3Yo0,,,Twitter for Android,,TRUE,FALSE,60,503,,0,https://t.co/RRVssm3Yo0,1,,0,,so
48,2017-08-21 18:52:00+03:00,2017,8,21,18,"فخامة الرئيس #محمد_فرماجو : الأزهر الشريف هو القادر علي مواجهة الأفكار المتطرفة في الصومال, لما يحظي به من مكانة وتقدير بين الصوماليين.",,,Twitter Web Client,,TRUE,FALSE,32,158,محمد_فرماجو,1,,0,,0,,ar
49,2017-08-21 18:46:00+03:00,2017,8,21,18,الرئيس #محمد_فرماجو أكد ضرورة نشر صحيح الدين والتصدي للفكر المتطرف وسبل التعاون بين علماء الصومال والأزهر في جميع المجالات الدينية والعلمية.,,,Twitter Web Client,,TRUE,FALSE,30,202,محمد_فرماجو,1,,0,,0,,ar
50,2017-08-21 17:51:00+03:00,2017,8,21,17,"Dr. Axmed Al. Dayib ""Azhar waxay Soomaaliya la garab taagantahay waxbarasho iyo wacyi gelin si loo dabar gooyo fiki… https://t.co/3YKMsDp2GO",,,Twitter Web Client,,TRUE,FALSE,41,219,,0,https://t.co/3YKMsDp2GO,1,,0,,so
51,2017-08-21 17:37:00+03:00,2017,8,21,17,Madaxweyne Farmaajo “Imaamka Al-Azhar waxaan isla qaadannay sidii la iskaga kaashan lahaa iftiiminta fikirka khalda… https://t.co/9qr0nlKYQT,,,Twitter Web Client,,TRUE,FALSE,42,214,,0,https://t.co/9qr0nlKYQT,1,,0,,so
52,2017-08-20 19:28:00+03:00,2017,8,20,19,#Somalia &amp; #Egypt are historical partners with a modern vision for common progress and prosperity. #EgyptStateVisit https://t.co/QnWKVfGAzL,,,Twitter for iPhone,,TRUE,FALSE,133,528,"Somalia, Egypt, EgyptStateVisit",3,,0,,0,photo,en
53,2017-08-20 19:23:00+03:00,2017,8,20,19,President @M_Farmaajo discussed strengthening bilateral relations with H.E president @AlsisiOfficial… https://t.co/IhEITk9wKH,,,Twitter for iPhone,,TRUE,FALSE,96,387,,0,https://t.co/IhEITk9wKH,1,"M_Farmaajo, AlsisiOfficial",2,,en
54,2017-08-13 20:36:00+03:00,2017,8,13,20,"President Farmajo; “We are committed to step up efforts to eradicate all preventable diseases” #NabadIyoNolol 

https://t.co/zY89pgxeQ1",,,Twitter for Android,,TRUE,FALSE,36,172,NabadIyoNolol,1,https://t.co/zY89pgxeQ1,1,,0,,en
55,2017-08-13 17:04:00+03:00,2017,8,13,17,"DFS waxaa ka go’an in ay joogteyso dadaallada lagu ciribtirayo, loogana hortagayo cudurrada dilaaga ah oo ay dabeys… https://t.co/jEr6iF2aH2",,,Twitter Web Client,,TRUE,FALSE,36,233,,0,https://t.co/jEr6iF2aH2,1,,0,,so
56,2017-08-11 23:55:00+03:00,2017,8,11,23,Madaxweyne Farmaajo oo ugu hambalyeeyay Madaxweyne Kenyatta guusha uu ka gaaray doorashad. https://t.co/ek6WlVaMNv via @madmimi,,,Twitter Web Client,,TRUE,FALSE,258,751,,0,https://t.co/ek6WlVaMNv,1,madmimi,1,,so
57,2017-08-10 20:10:00+03:00,2017,8,10,20,President Farmaajo ordered Aug 10 security op. on the outskirts of Mogadishu killing key Shabaab leader behind bombings &amp; assassinations.,,,Twitter for iPhone,TheVillaSomalia,TRUE,FALSE,24,124,,0,,0,,0,,en
